Year,Region,Sector,Electricity Consumption (MWh),Name,Date_Object,Periodicity
2005,Eastern,Industrial,28089814,Industrial : Eastern,1/1/2005,Annually
2005,Western,Others,2016908,Others : Western,1/1/2005,Annually
2005,Total,Total,153283561,Total : Total,1/1/2005,Annually
2006,Southern,Residential,9247978,Residential : Southern,1/1/2006,Annually
2006,Central,Others,2431666,Others : Central,1/1/2006,Annually
2006,Eastern,Others,993476,Others : Eastern,1/1/2006,Annually
2006,Eastern,Total,54689072,Total : Eastern,1/1/2006,Annually
2007,Eastern,Residential,17328279,Residential : Eastern,1/1/2007,Annually
2007,Western,Residential,33693560,Residential : Western,1/1/2007,Annually
2007,Central,Industrial,3748438,Industrial : Central,1/1/2007,Annually
2007,Southern,Commercial,1020807,Commercial : Southern,1/1/2007,Annually
2007,Central,Others,2604606,Others : Central,1/1/2007,Annually
2007,Eastern,Total,52750752,Total : Eastern,1/1/2007,Annually
2008,Eastern,Governmental,5078833,Governmental : Eastern,1/1/2008,Annually
2008,Central,Agricultural,2355609,Agricultural : Central,1/1/2008,Annually
2008,Western,Others,2321718,Others : Western,1/1/2008,Annually
2008,Central,Total,55983973,Total : Central,1/1/2008,Annually
2008,Total,Total,181097545,Total : Total,1/1/2008,Annually
2009,Central,Residential,31764090,Residential : Central,1/1/2009,Annually
2009,Eastern,Industrial,26773000,Industrial : Eastern,1/1/2009,Annually
2009,Western,Industrial,3750374,Industrial : Western,1/1/2009,Annually
2009,Southern,Industrial,270980,Industrial : Southern,1/1/2009,Annually
2009,Eastern,Governmental,5782753,Governmental : Eastern,1/1/2009,Annually
2009,Western,Governmental,6288334,Governmental : Western,1/1/2009,Annually
2009,Western,Total,59268028,Total : Western,1/1/2009,Annually
2009,Southern,Total,15812262,Total : Southern,1/1/2009,Annually
2010,Eastern,Governmental,6639934,Governmental : Eastern,1/1/2010,Annually
2010,Total,Governmental,24513955,Governmental : Total,1/1/2010,Annually
2010,Western,Others,2645648.1,Others : Western,1/1/2010,Annually
2011,Western,Industrial,4700709.1,Industrial : Western,1/1/2011,Annually
2011,Southern,Industrial,167063.1,Industrial : Southern,1/1/2011,Annually
2011,Eastern,Commercial,6766531.8,Commercial : Eastern,1/1/2011,Annually
2011,Western,Commercial,12026746.9,Commercial : Western,1/1/2011,Annually
2011,Southern,Agricultural,68832,Agricultural : Southern,1/1/2011,Annually
2011,Total,Agricultural,3785620.3,Agricultural : Total,1/1/2011,Annually
2011,Southern,Others,854616.8,Others : Southern,1/1/2011,Annually
2011,Total,Others,7557267.8,Others : Total,1/1/2011,Annually
2011,Central,Total,67663142,Total : Central,1/1/2011,Annually
2011,Eastern,Total,69224328.9,Total : Eastern,1/1/2011,Annually
2012,Central,Industrial,5481000,Industrial : Central,1/1/2012,Annually
2012,Eastern,Industrial,30569800,Industrial : Eastern,1/1/2012,Annually
2012,Total,Governmental,26088600,Governmental : Total,1/1/2012,Annually
2012,Central,Commercial,12172000,Commercial : Central,1/1/2012,Annually
2012,Eastern,Agricultural,739400,Agricultural : Eastern,1/1/2012,Annually
2012,Total,Agricultural,4191300,Agricultural : Total,1/1/2012,Annually
2012,Western,Total,73065800,Total : Western,1/1/2012,Annually
2013,Total,Residential,125678089.9,Residential : Total,1/1/2013,Annually
2013,Eastern,Industrial,38139948.91,Industrial : Eastern,1/1/2013,Annually
2013,Total,Industrial,51080063.82,Industrial : Total,1/1/2013,Annually
2013,Eastern,Governmental,6938437.554,Governmental : Eastern,1/1/2013,Annually
2013,Western,Governmental,7148470.711,Governmental : Western,1/1/2013,Annually
2013,Total,Agricultural,4290278.925,Agricultural : Total,1/1/2013,Annually
2013,Eastern,Others,1387568.957,Others : Eastern,1/1/2013,Annually
2013,Western,Total,80193001.08,Total : Western,1/1/2013,Annually
2013,Southern,Total,23556738.46,Total : Southern,1/1/2013,Annually
2013,Total,Total,256687604.6,Total : Total,1/1/2013,Annually
2014,Central,Residential,44155475.66,Residential : Central,1/1/2014,Annually
2014,Total,Residential,133903724.6,Residential : Total,1/1/2014,Annually
2014,Central,Commercial,14035005.18,Commercial : Central,1/1/2014,Annually
2014,Southern,Commercial,3580744.786,Commercial : Southern,1/1/2014,Annually
2014,Southern,Agricultural,120634.3093,Agricultural : Southern,1/1/2014,Annually
2014,Central,Others,3640634.242,Others : Central,1/1/2014,Annually
2014,Western,Others,3194896.899,Others : Western,1/1/2014,Annually
2015,Central,Residential,48496158.57,Residential : Central,1/1/2015,Annually
2015,Southern,Residential,16683439.02,Residential : Southern,1/1/2015,Annually
2015,Eastern,Industrial,32411721.01,Industrial : Eastern,1/1/2015,Annually
2015,Total,Industrial,45134212.35,Industrial : Total,1/1/2015,Annually
2015,Eastern,Governmental,9048684.309,Governmental : Eastern,1/1/2015,Annually
2015,Eastern,Commercial,9090966.072,Commercial : Eastern,1/1/2015,Annually
2015,Total,Commercial,48079822.35,Commercial : Total,1/1/2015,Annually
2015,Central,Agricultural,3284676.259,Agricultural : Central,1/1/2015,Annually
2015,Total,Agricultural,5167533.035,Agricultural : Total,1/1/2015,Annually
2015,Central,Total,90211652.28,Total : Central,1/1/2015,Annually
2016,Central,Residential,47451818.49,Residential : Central,1/1/2016,Annually
2016,Western,Industrial,6134085.401,Industrial : Western,1/1/2016,Annually
2016,Western,Governmental,8606441.257,Governmental : Western,1/1/2016,Annually
2016,Total,Governmental,32719401.39,Governmental : Total,1/1/2016,Annually
2016,Central,Commercial,17296606.36,Commercial : Central,1/1/2016,Annually
2016,Total,Agricultural,5380609.634,Agricultural : Total,1/1/2016,Annually
2016,Central,Total,90286089.99,Total : Central,1/1/2016,Annually
2016,Western,Total,88794391.02,Total : Western,1/1/2016,Annually
2016,Southern,Total,27947551.59,Total : Southern,1/1/2016,Annually
2016,Total,Total,287692345.8,Total : Total,1/1/2016,Annually
2017,Western,Residential,49935414.13,Residential : Western,1/1/2017,Annually
2017,Eastern,Governmental,7549721.292,Governmental : Eastern,1/1/2017,Annually
2017,Central,Commercial,17030168.83,Commercial : Central,1/1/2017,Annually
2017,Eastern,Commercial,9622638.395,Commercial : Eastern,1/1/2017,Annually
2017,Western,Commercial,17936634.17,Commercial : Western,1/1/2017,Annually
2017,Eastern,Agricultural,1003276.288,Agricultural : Eastern,1/1/2017,Annually
2017,Total,Agricultural,5429569.822,Agricultural : Total,1/1/2017,Annually
2017,Southern,Others,1568171.892,Others : Southern,1/1/2017,Annually
2018,Western,Industrial,7247292.721,Industrial : Western,1/1/2018,Annually
2018,Total,Industrial,51147523.33,Industrial : Total,1/1/2018,Annually
2018,Southern,Commercial,4909890.899,Commercial : Southern,1/1/2018,Annually
2018,Southern,Agricultural,120928.4449,Agricultural : Southern,1/1/2018,Annually
2018,Central,Others,5191912.628,Others : Central,1/1/2018,Annually
2019,Central,Residential,42064993.24,Residential : Central,1/1/2019,Annually
2019,Western,Residential,44575740.43,Residential : Western,1/1/2019,Annually
2019,Southern,Industrial,557493.2079,Industrial : Southern,1/1/2019,Annually
2019,Total,Industrial,49435662.38,Industrial : Total,1/1/2019,Annually
2019,Central,Governmental,10998732.81,Governmental : Central,1/1/2019,Annually
2019,Eastern,Governmental,9713433.684,Governmental : Eastern,1/1/2019,Annually
2019,Southern,Governmental,5121859.74,Governmental : Southern,1/1/2019,Annually
2019,Eastern,Commercial,9156217.943,Commercial : Eastern,1/1/2019,Annually
2019,Southern,Commercial,4716818.881,Commercial : Southern,1/1/2019,Annually
2019,Total,Commercial,46820476.94,Commercial : Total,1/1/2019,Annually
2019,Central,Others,4522209.582,Others : Central,1/1/2019,Annually
